vol,ch,work,author,edition,year,rights,corpus,source,notes
4,22,First Apology,Justin Martyr,Ante-Nicene Fathers ed.,1885,pd,,to acquire (CCEL),
4,23,Apology; The Passion of Perpetua and Felicity,Tertullian; anon.,Ante-Nicene Fathers ed.,1885,pd,,to acquire (CCEL),
5,1,Confession; Letter to Coroticus,Patrick,verify a pre-1931 translation,,pd,,to acquire: edition not yet chosen,
5,2,Pastoral Rule,Gregory the Great,NPNF ed.,1895,pd,,to acquire (CCEL),
5,3,The Dream of the Rood; Caedmon's Hymn,anon.; Caedmon,verify a pre-1931 translation,,pd,,to acquire: edition not yet chosen,
5,4,The Anglo-Saxon Chronicle,anon.,tr. James Ingram,1823,pd,,to acquire (Gutenberg),
5,5,Life of Charlemagne,Einhard,tr. S. E. Turner,1880,pd,,to acquire (Gutenberg),
5,6,The Story of Burnt Njal,anon.,tr. G. W. Dasent,1861,pd,,to acquire (Gutenberg),
5,7,The Nibelungenlied,anon.,tr. George H. Needler,1904,pd,,to acquire (Gutenberg),
5,8,Poem of the Cid,anon.,tr. Archer M. Huntington,1897,pd,,to acquire (archive.org; verify),
5,9,Magna Carta,barons of England,"1215 text, English tr. verify",,pd,,to acquire (Avalon / British Library tr.; verify rights),
5,10,The Little Flowers of St. Francis,anon.,tr. T. W. Arnold,1898,pd,,to acquire (Gutenberg),
5,11,The Memoirs of the Lord of Joinville (Life of St. Louis),Jean de Joinville,tr. Ethel Wedgwood,1906,pd,,to acquire (Gutenberg),
5,12,Troilus and Criseyde,Geoffrey Chaucer,Middle English text,1385,pd,chaucer-troilus,,
5,13,Piers Plowman,William Langland,tr. W. W. Skeat (modern version),1905,pd,,to acquire (verify),
5,14,Revelations of Divine Love,Julian of Norwich,ed. Grace Warrack,1901,pd,,to acquire (Gutenberg / CCEL),
5,15,Le Morte d'Arthur (selections),Thomas Malory,Caxton text,1485,pd,,to acquire (Gutenberg),
5,16,The Praise of Folly,Erasmus,verify a pre-1931 translation,,pd,,to acquire (Gutenberg),
5,17,Utopia,Thomas More,tr. Ralph Robinson,1551,pd,,to acquire (Gutenberg),
5,18,The Prince,Niccolo Machiavelli,tr. W. K. Marriott,1908,pd,machiavelli-prince,,Read for critique
5,19,Commentary on Romans,John Calvin,Calvin Translation Society ed.,1849,pd,calvin-com38,,
5,20,"Actes and Monuments (Book of Martyrs), selections",John Foxe,1563 text / later abridgement,1563,pd,,to acquire (CCEL / Gutenberg),
5,21,The Book of Common Prayer,Thomas Cranmer et al.,1662 text,1662,pd,,to acquire (verify source),Crown copyright applies in the UK only
6,1,Holy Sonnets; Devotions upon Emergent Occasions,John Donne,1624/1633 texts,1633,pd,,to acquire (Gutenberg),
6,2,The Temple,George Herbert,1633 text,1633,pd,,to acquire (Gutenberg),
6,3,Don Quixote,Miguel de Cervantes,tr. John Ormsby,1885,pd,cervantes-quixote,,
6,4,Essays (selections),Michel de Montaigne,"tr. Cotton, rev. Hazlitt",1877,pd,montaigne-essays,,
6,5,Leviathan (selections),Thomas Hobbes,1651 text,1651,pd,hobbes-leviathan,,Read for critique
6,6,Tartuffe,Moliere,tr. Curtis Hidden Page,1908,pd,moliere-plays,,
6,7,The Fountain of Life,John Flavel,CCEL ed.,1671,pd,flavel-fountain,,
6,8,Of Communion with God,John Owen,CCEL ed.,1657,pd,owen-communion,,
6,9,The Holy War,John Bunyan,CCEL ed.,1682,pd,bunyan-holy_war,,
6,10,Robinson Crusoe,Daniel Defoe,1719 text,1719,pd,,to acquire (Gutenberg),
6,11,Gulliver's Travels,Jonathan Swift,1726 text,1726,pd,swift-gulliver,,
6,12,"Faust, Part I",J. W. von Goethe,tr. Bayard Taylor,1870,pd,faust,,
6,13,Democracy in America (selections),Alexis de Tocqueville,tr. Henry Reeve,1835,pd,,to acquire (Gutenberg),
6,14,The Scarlet Letter,Nathaniel Hawthorne,1850 text,1850,pd,,to acquire (Gutenberg),
6,15,Moby-Dick,Herman Melville,1851 text,1851,pd,melville-mobydick,,
6,16,Phantastes,George MacDonald,1858 text,1858,pd,,to acquire (Gutenberg),The book Lewis said baptized his imagination
6,17,Adventures of Huckleberry Finn,Mark Twain,1884 text,1884,pd,twain-huckfinn,,
6,18,Treasure Island,Robert Louis Stevenson,1883 text,1883,pd,treasure_island,,
6,19,War and Peace,Leo Tolstoy,tr. Louise & Aylmer Maude,1922,pd,tolstoy-warpeace,,Maudes d. 1938/1939: PD in UK too
6,20,Heart of Darkness,Joseph Conrad,1899 text,1899,pd,conrad-heart,,
6,21,Poems,Gerard Manley Hopkins,ed. Robert Bridges,1918,pd,,to acquire (Gutenberg),
6,22,The Man Who Was Thursday,G. K. Chesterton,1908 text,1908,pd,,to acquire (Gutenberg),
6,23,The Waste Land,T. S. Eliot,1922 text,1922,pd-us,,to acquire (Gutenberg),Eliot d. 1965: UK PD only from 2036
6,24,Brave New World,Aldous Huxley,,1932,not-pd,,,Reference only
6,25,The Hobbit,J. R. R. Tolkien,,1937,not-pd,,,Reference only
6,26,The Screwtape Letters,C. S. Lewis,,1942,not-pd,,,Reference only
6,27,The Abolition of Man,C. S. Lewis,,1943,not-pd,,,Reference only
6,28,Nineteen Eighty-Four,George Orwell,,1949,not-pd,,,Reference only
6,29,The Lord of the Rings,J. R. R. Tolkien,,1954,not-pd,,,Reference only; first volume 1954
